"Value (CH 1, SKT100C)_Now",ch1(O)_Now,ch2(O)_Now,ch3(O)_Now,ch4(O)_Now,ch5(O)_Now,ch6(O)_Now,ch7(O)_Now,ch8(O)_Now,ch9(O)_Now,ch10(O)_Now,ch11(O)_Now,ch12(O)_Now,ch13(O)_Now,ch14(O)_Now,ch15(O)_Now,ch16(O)_Now,workload_Future,"   _Vind,_kias _Now","   Vtrue,_ktgs _Now","   _wind,speed _Now","   _wind,__dir _Now","   _elev__up,stick _Now","   _elev__down,stick_Now","   ailrn,stick _Now","   ruddr,_surf _Now","   nwhel,steer _Now","   _trim,_elev _Now","   _flap,postn _Now","   pitch,__deg__up_Now","   pitch,__deg__up.1_Now","   _roll,__deg _Now","   hding,_true _Now","   alpha,__deg _Now","   _beta,__deg _Now","   __alt,ftmsl _Now","   ___on,runwy _Now","   _dist,___ft _Now","   thro1,_part _Now","P-P (CH 3, RSP100C)_Now","BPM (CH 3, RSP100C)_Now","P-P (CH 9, PPG100C).1_Now","Value (CH 9, PPG100C).1_Now",HR(EDA100C)_Now,"Value (CH13, Alpha of CH 7).1_Now","Value (CH14, Beta of CH 7)_Now","Value (CH15, Theta of CH 7).1_Now","Value (CH18, Alpha of CH 8).1_Now","Value (CH19, Beta of CH 8)_Now","Value (CH20, Theta of CH 8).1_Now",h_Now,s_Now,v_Now
2.847054389,-0.845977187,0.204418381,0.046903556,-0.72126962,-0.480007898,0.769260284,0.03010187,-0.450418042,0.584487026,0.36571052,0.990174877,0.342479412,-0.982945282,-1.256679844,0.777455011,-0.609657663,3,-4.729448884,-3.76386373,-3.103396765,-1.54295322,-0.338212032,0.984850111,0.040421126,-0.430449465,-0.603253346,1.843967877,-0.365338595,-0.493709291,0.612887549,-0.584575581,-1.378819835,0.039131148,1.314704949,-1.357876616,1,-1.773095993,0.988655417,-0.408368549,-0.099498619,0.136239345,0.520292662,-1.875276895,0.322223258,0.436380405,0.850840249,1.344107208,1.600116639,0.913582548,-4.77667129,2.258984191,-1.744127546
2.837861138,-0.845123021,0.244164939,0.009511656,-0.665674194,-0.43032028,0.734642399,0.023450237,-0.420838627,0.631733683,0.396393381,0.989528442,0.387412275,-0.914353712,-1.189970342,0.916867445,-0.469548448,3,-4.650611463,-3.586098861,-3.107040848,-1.573563663,-0.338212032,0.984850111,-0.417995529,7.726138903,7.429482893,1.843967877,-0.365338595,-0.228587888,0.778333914,-0.588870299,-1.404804051,0.946383352,-1.702302073,-1.357886657,1,-1.772973674,0.988655417,-0.408368549,-0.099498619,0.136239345,0.520292662,-0.709600095,0.453322007,0.543544269,1.152666551,1.718330874,2.063836136,1.258229345,-4.606749877,2.545203526,-1.693667451
2.826546365,-0.847805068,2.88E-01,-0.025728162,-0.596749894,-0.382242082,0.693155572,0.01685377,-0.384922512,0.681990519,0.423548364,0.988384287,0.43025508,-0.832415703,-1.115594205,1.065311386,-0.315897837,3,-4.416009982,-3.384418874,-3.10308406,-1.54054463,-0.338212032,0.984850111,-0.074871575,10.86498547,10.75224241,1.843967877,-0.365338595,-0.292059638,0.778333914,-0.609582259,-1.377004708,0.815445187,0.862412278,-1.357877588,1,-1.772628107,0.988655417,-0.408368549,-0.099498619,-1.255797059,-0.458977485,-2.098336522,-0.045024817,0.999071294,1.052082303,1.865442012,2.091774868,1.683779263,-3.983418204,2.394662638,-1.639534192
2.811695728,-0.851561719,0.332375256,-0.056179796,-0.518764166,-0.340948588,0.642825264,0.006085087,-0.345067545,0.731242976,0.444010639,0.988257453,0.467859631,-0.74163658,-1.03941895,1.211328673,-0.158443395,3,-4.129890919,-3.190170492,-3.104929987,-1.47784495,-0.338212032,0.984850111,0.063593476,1.044572371,1.030831224,1.843967877,-0.365338595,-0.259467254,0.778333914,-0.620373955,-1.329753899,0.901527898,3.047317774,-1.357839876,1,-1.772066055,0.988655417,-0.173268411,-0.794237281,-0.140001344,-0.912578806,-0.610955424,-0.055818432,0.965540736,1.145825586,2.29395534,2.4853196,2.019742546,-3.528231755,2.232107332,-1.612085357
2.802502475,-0.853981916,0.372095499,-0.081378651,-0.439841613,-0.308051863,0.585888964,-0.010573974,-0.304896604,0.776285186,0.457777085,0.990643427,0.499809784,-0.649525782,-0.967699737,1.345090124,-0.007955646,3,-3.840414928,-3.001741886,-3.096556303,-1.514798162,-0.338212032,0.984850111,0.063593476,1.044091734,0.775884343,1.843967877,-0.365338595,-0.259995576,0.778333914,-0.605903003,-1.357602074,0.902216756,-0.673294053,-1.357858219,1,-1.77128809,0.988655417,-0.173268411,-0.794237281,-0.140001344,-0.912578806,0.332180547,-0.652664792,0.185000417,0.793670381,2.500478284,2.998960242,2.399218277,-3.535240419,2.262298729,-1.631158214
2.794016396,-0.853453269,0.403827435,-0.099414557,-0.367549043,-0.287215105,0.522358798,-0.036231468,-0.267265032,0.812855695,0.462817644,0.997928575,0.524140648,-0.561769789,-0.907306829,1.453632666,0.123720425,3,-3.563826958,-2.822966349,-3.102736359,-1.566850858,-0.338212032,0.984850111,-0.168271519,2.955586101,2.745155328,1.843967877,-0.365338595,-0.237307195,0.778333914,-0.611131882,-1.396829202,0.927597794,-2.466773806,-1.357859349,1,-1.770319601,0.988655417,-0.173268411,-0.794237281,0.206653635,-1.041876375,2.329452933,-0.80372861,0.211437972,0.743885812,3.014275079,3.288035933,2.848422003,-3.047378926,2.215225953,-1.661305356
2.785530318,-0.850389896,0.427764712,-0.111403838,-0.307183421,-0.277067938,0.454593457,-0.0704778,-0.233764441,0.839760417,0.460419178,1.010398538,0.541821062,-0.481690569,-0.860331923,1.533716211,0.232473071,3,-3.288830995,-2.647348983,-3.088620019,-1.570144722,-0.338212032,0.984850111,-0.604713185,2.546866638,2.509142584,1.843967877,-0.365338595,-0.290087333,0.778333914,-0.617594211,-1.399311456,0.887487264,-0.576270132,-1.357840026,1,-1.769138586,0.988655417,-0.173268411,-0.794237281,-0.995805816,0.630513547,1.79636567,-1.090991629,0.585817078,0.230695771,3.381751994,3.389125806,3.503967463,-3.172181306,2.300447325,-1.666202984
2.778458585,-0.84542153,0.442763639,-0.116823361,-0.268095043,-0.279331416,0.383074837,-0.115726433,-0.20693412,0.852081968,0.449156419,1.029369518,0.551387542,-0.414122729,-0.832495639,1.572935275,0.307733032,3,-3.029569101,-2.480709324,-3.088940829,-1.550428224,-0.338212032,0.984850111,-7.67E-01,2.533526369,2.524529229,1.843967877,-0.365338595,-0.288125234,0.778333914,-0.606111618,-1.384453022,0.858349312,0.865468364,-1.357853821,1,-1.76778174,0.988655417,-1.069929402,-1.047158634,-1.515788285,0.969654723,1.710302578,-1.389157448,0.426956135,0.007327242,3.843287781,3.914625617,3.890390005,-2.856599028,2.412582115,-1.681640945
2.776337065,-0.840595194,0.451998641,-0.118009294,-0.251360658,-0.290548557,0.309383438,-0.169973146,-0.186431409,0.850099894,0.430869693,1.052965047,0.554279388,-0.358314484,-0.821356008,1.575233464,0.353040334,3,-2.77752155,-2.320244939,-3.092816792,-1.528677338,-0.338212032,0.984850111,-7.67E-01,2.540174709,2.531196141,1.843967877,-0.365338595,-0.25600411,0.778333914,-0.608060514,-1.368061462,0.875603788,1.571686235,-1.35781658,1,-1.766225531,0.988655417,-1.069929402,-1.047158634,-1.087886058,0.573283474,1.639169886,-1.671975119,0.150440628,0.559988914,3.452721239,3.084769006,3.321786936,-2.577339436,2.503186959,-1.723767611
2.760779254,-0.83827551,0.457380162,-0.116136882,-0.263494392,-0.30973201,0.233904124,-0.233409329,-0.17328623,0.829915806,0.405161113,1.080078537,0.549668132,-0.315917915,-0.828356253,1.535272158,0.365031449,3,-2.538005353,-2.167363095,-3.077286606,-1.510145443,-0.338212032,0.984850111,-0.765392041,2.492745749,2.473750569,1.843967877,-0.365338595,-0.313410382,0.778333914,-0.620836581,-1.354095759,0.797204103,1.819408167,-1.357836077,1,-1.764498824,0.988655417,-1.069929402,-1.047158634,-1.142050884,0.668666929,0.53113374,-1.377334384,0.198628406,0.214571691,2.458129065,2.551951229,2.954530002,-2.467663041,2.334969309,-1.75321592
