"Value (CH 1, SKT100C)_Now",ch1(O)_Now,ch2(O)_Now,ch3(O)_Now,ch4(O)_Now,ch5(O)_Now,ch6(O)_Now,ch7(O)_Now,ch8(O)_Now,ch9(O)_Now,ch10(O)_Now,ch11(O)_Now,ch12(O)_Now,ch13(O)_Now,ch14(O)_Now,ch15(O)_Now,ch16(O)_Now,workload_Future,"   _Vind,_kias _Now","   Vtrue,_ktgs _Now","   _wind,speed _Now","   _wind,__dir _Now","   _elev__up,stick _Now","   _elev__down,stick_Now","   ailrn,stick _Now","   ruddr,_surf _Now","   nwhel,steer _Now","   _trim,_elev _Now","   _flap,postn _Now","   pitch,__deg__up_Now","   pitch,__deg__up.1_Now","   _roll,__deg _Now","   hding,_true _Now","   alpha,__deg _Now","   _beta,__deg _Now","   __alt,ftmsl _Now","   ___on,runwy _Now","   _dist,___ft _Now","   thro1,_part _Now","P-P (CH 3, RSP100C)_Now","BPM (CH 3, RSP100C)_Now","P-P (CH 9, PPG100C).1_Now","Value (CH 9, PPG100C).1_Now",HR(EDA100C)_Now,"Value (CH13, Alpha of CH 7).1_Now","Value (CH14, Beta of CH 7)_Now","Value (CH15, Theta of CH 7).1_Now","Value (CH18, Alpha of CH 8).1_Now","Value (CH19, Beta of CH 8)_Now","Value (CH20, Theta of CH 8).1_Now",h_Now,s_Now,v_Now
1.737069461,0.031289688,-0.109416695,0.183049036,0.22218057,0.618745385,0.522605415,0.384899,-0.420606231,-0.147249713,-0.134135438,-0.312770226,-0.059134827,-0.368030522,-0.700932035,-0.573886944,0.210609963,2,-4.212507913,-3.402988779,-2.912188595,2.845366659,-0.452182228,0.229514687,0.257793162,7.086837137,6.653681427,2.17472706,-0.446839801,-0.220978019,0.921504673,-0.494612683,-2.610083839,1.188933418,-0.911694388,-1.895067707,1,-1.619421629,1.492085353,-0.270945587,-1.010897341,-0.061684451,0.754055261,-0.046553097,0.864586849,0.288449019,3.202574875,1.295329432,0.835493426,3.397873941,-2.002615202,-3.479488347,-3.238787755
1.728986906,-0.007622006,-0.13934151,0.179215032,0.235401507,0.645142861,0.571927087,0.419572467,-0.362815585,-0.146733652,-0.121591368,-0.204302402,-0.05712974,-0.228864525,-0.575164077,-0.436820725,0.250684465,2,-3.860438532,-3.104699203,-2.911558734,2.844211165,-0.452182228,0.229514687,0.241280192,13.59697415,13.57402552,2.17472706,-0.446839801,-0.227281198,0.921504673,-0.481216704,-2.602643297,1.214234626,1.818653213,-1.895011892,1,-1.618155394,1.492085353,-0.270945587,-1.010897341,0.001224582,0.434426208,0.229734471,0.783074945,0.972231889,2.928180926,1.127738984,0.759052,3.361061356,-2.413624732,-3.659045922,-3.568395671
1.716285747,-0.048503892,-0.17329852,0.163328304,0.242627831,0.655414336,0.621249764,0.437836098,-0.326130572,-0.146456562,-0.111524263,-0.117592664,-0.054268368,-0.118771354,-0.460928228,-0.29971063,0.290300454,2,-3.524999076,-2.814047725,-2.911327476,2.860909053,-0.452182228,0.229514687,0.257793162,0.130969033,-0.130204532,2.17472706,-0.446839801,-0.203212177,0.921504673,-0.497437245,-2.581337267,1.262081094,0.193778337,-1.895036169,1,-1.61667659,1.492085353,0.849110474,-0.289261327,0.272632107,0.679959435,1.070609676,1.655355839,0.951087244,3.205036342,1.287242405,1.388810868,2.819875854,-2.564396999,-3.772620818,-3.959313448
1.717440397,-0.089270282,-0.208409073,0.135635477,0.242719842,0.651950445,0.666621708,0.439193556,-0.30760475,-0.146431694,-0.104188204,-0.052078,-0.050707265,-0.039434192,-0.362828054,-0.170504239,0.329252456,2,-3.204331026,-2.537174771,-2.911063006,2.8006421,-0.452182228,0.229514687,0.257793162,7.90197379,7.642723825,2.17472706,-0.446839801,-0.19769778,0.921504673,-0.472292263,-2.615262652,1.235311145,-1.562235215,-1.895015899,1,-1.61499926,1.492085353,0.849110474,-0.289261327,-0.503845054,0.945832692,1.070609676,1.446585979,0.642038902,2.374021003,1.606290933,2.523456238,2.467858805,-2.539674297,-3.793886631,-4.052749391
1.710512492,-0.128839953,-0.242629817,0.095611015,0.234420697,0.636061603,0.703953076,0.422920272,-0.305795846,-0.14670573,-0.099876307,-0.008570856,-0.046635346,0.006971119,-0.285674372,-0.056181435,0.367284462,2,-2.882539748,-2.266844256,-2.90870355,2.792589942,-0.452182228,0.229514687,0.257793162,-0.105565604,-0.341152829,2.17472706,-0.446839801,-0.308253386,0.921504673,-0.49652135,-2.610034379,1.039263099,0.187260984,-1.895038909,1,-1.613086721,1.492085353,0.849110474,-0.289261327,-0.19648951,0.637826517,0.335418239,0.871240318,1.124881394,1.414054321,0.906193331,1.926435604,1.311692446,-2.360050275,-3.773848087,-4.163897774
1.697811333,-0.166744438,-0.274417848,0.044772768,0.217952368,0.610839922,0.730240074,0.391580603,-0.316869555,-0.147293288,-0.098345458,0.015305109,-0.042387235,0.024144071,-0.230697067,0.039122019,0.404275792,2,-2.581803432,-2.010958713,-2.908896523,2.731041921,-0.452182228,0.229514687,0.2508919,4.951694596,4.66012234,2.17472706,-0.446839801,-0.263051747,0.921504673,-0.471693179,-2.643012332,1.193421378,-2.400176206,-1.894944967,1,-1.610981898,1.492085353,-0.224692787,-0.363167741,-0.122796076,0.444596226,-0.42471566,0.743361186,0.8675023,0.871212601,1.045715402,1.381961329,0.930362649,-2.237354068,-3.75187123,-4.012071695
1.690883428,-0.202459982,-0.302380135,-0.015954676,0.193081278,0.578088616,0.741919238,0.346690928,-0.338698036,-0.14824315,-0.099559747,0.019737449,-0.038295732,0.013499405,-0.200372724,0.110647142,0.440049103,2,-2.29720523,-1.769154473,-2.908851016,2.73632975,-0.452182228,0.229514687,0.240866806,1.167770733,1.269016751,2.17472706,-0.446839801,-0.251018334,0.921504673,-0.478027278,-2.626366789,1.126105957,2.645631674,-1.89499077,1,-1.608720671,1.492085353,-0.224692787,-0.363167741,-0.061684451,0.371953259,-0.080534991,0.712164421,0.924815419,0.840543738,1.098767415,0.091229062,1.241377062,-2.404805399,-3.753276585,-3.923212141
1.687419475,-0.235594953,-0.325785814,-0.083357115,0.16129405,0.540628746,0.738207044,0.292316251,-0.367699165,-0.149547378,-0.102999631,0.007820073,-0.034681486,-0.018681665,-0.192421713,0.158197596,0.474675444,2,-2.024381177,-1.538617956,-2.909421161,2.699079437,-0.452182228,0.229514687,0.257793162,7.195832777,7.006363311,2.17472706,-0.446839801,-0.27377369,0.921504673,-0.499013988,-2.639990841,1.009928916,-0.655588246,-1.894982507,1,-1.606287192,1.492085353,-0.224692787,-0.363167741,-0.147959688,0.30512173,-1.956000598,0.04257968,0.924629939,0.317166372,0.625940304,0.283001915,0.868210235,-2.318685893,-3.783190186,-4.128757272
1.680491571,-0.265539887,-0.343900473,-0.15448659,0.123938914,0.50038311,0.718603566,0.231628722,-0.401563791,-0.151207992,-0.108285988,-0.018601671,-0.031802148,-0.067773972,-0.204819604,0.181662783,0.508242403,2,-1.770807574,-1.321170848,-2.908297612,2.713942656,-0.452182228,0.229514687,0.257793162,0.15844489,0.042914709,2.17472706,-0.446839801,-0.277974494,0.921504673,-0.487463317,-2.614915008,1.028941239,3.324734635,-1.894946087,1,-1.603714915,1.492085353,-0.42381869,0.723766586,0.155801052,-0.523008092,-2.200545823,-0.122252434,1.266521375,0.243578155,0.989620332,0.423125542,0.380480152,-2.406125328,-3.799545326,-4.031778942
1.659707855,-0.291261389,-0.355674816,-0.225311289,0.082973728,0.459332305,0.683051382,0.168417102,-0.438175224,-0.153230844,-0.114966049,-0.05767071,-0.029943969,-0.128283313,-0.234352267,0.181372962,0.540896814,2,-1.522738655,-1.113503746,-2.909365072,2.67237714,-0.452182228,0.229514687,0.230835974,4.730168172,4.66012234,2.17472706,-0.446839801,-0.254224255,0.921504673,-0.484423989,-2.63008478,1.011696955,0.073246702,-1.894912355,1,-1.600989551,1.492085353,-0.42381869,0.723766586,0.083905021,-1.188417662,-1.117555464,0.275188839,1.421144909,0.210214752,1.371947767,0.942323451,0.577975889,-2.080631388,-3.294575532,-2.458527766
