"Value (CH 1, SKT100C)_Now",ch1(O)_Now,ch2(O)_Now,ch3(O)_Now,ch4(O)_Now,ch5(O)_Now,ch6(O)_Now,ch7(O)_Now,ch8(O)_Now,ch9(O)_Now,ch10(O)_Now,ch11(O)_Now,ch12(O)_Now,ch13(O)_Now,ch14(O)_Now,ch15(O)_Now,ch16(O)_Now,workload_Future,"   _Vind,_kias _Now","   Vtrue,_ktgs _Now","   _wind,speed _Now","   _wind,__dir _Now","   _elev__up,stick _Now","   _elev__down,stick_Now","   ailrn,stick _Now","   ruddr,_surf _Now","   nwhel,steer _Now","   _trim,_elev _Now","   _flap,postn _Now","   pitch,__deg__up_Now","   pitch,__deg__up.1_Now","   _roll,__deg _Now","   hding,_true _Now","   alpha,__deg _Now","   _beta,__deg _Now","   __alt,ftmsl _Now","   ___on,runwy _Now","   _dist,___ft _Now","   thro1,_part _Now","P-P (CH 3, RSP100C)_Now","BPM (CH 3, RSP100C)_Now","P-P (CH 9, PPG100C).1_Now","Value (CH 9, PPG100C).1_Now",HR(EDA100C)_Now,"Value (CH13, Alpha of CH 7).1_Now","Value (CH14, Beta of CH 7)_Now","Value (CH15, Theta of CH 7).1_Now","Value (CH18, Alpha of CH 8).1_Now","Value (CH19, Beta of CH 8)_Now","Value (CH20, Theta of CH 8).1_Now",h_Now,s_Now,v_Now
5.273044239,2.542145844,2.452748959,-0.812128571,2.728470517,2.563569714,2.619708525,2.554729547,-0.009242479,0.565570422,-0.609733104,-1.261633714,-3.247978794,-0.64551892,0.496323246,-2.263929771,1.90994199,1,-5.108703755,-2.991276148,-6.561571072,-0.606888303,-0.131093059,0.492078814,-0.83654442,-11.45286268,-12.34713525,2.17359456,-0.878598716,0.417047634,1.160372626,-0.570997181,0.242827042,2.566907507,-14.79969428,-1.900918943,1,-2.091321872,-2.290449829,-0.155879022,0.662696689,0.2401504,-0.816443597,-1.340251813,-1.1441552,-0.673202193,1.667410342,0.667638796,-0.239193943,0.167165951,-4.295218606,-1.870038679,0.231659263
5.266312448,2.462177276,2.384639182,-0.889564883,2.693050854,2.524005431,2.401659417,2.346972118,0.17445084,0.484987157,-0.632545569,-1.12609687,-3.032763764,-0.716740482,0.460815204,-2.170986941,1.911058725,1,-5.02464418,-2.929322744,-6.585477356,-0.600145302,-0.131093059,0.492078814,-0.83654442,-13.37089974,-14.84563108,2.17359456,-0.878598716,0.270422412,1.160372626,-0.595761541,0.238667302,2.389992504,-14.24818263,-1.900939491,1,-2.091095683,-1.942398428,-0.155879022,0.662696689,0.037987477,-0.728151001,-1.101274221,-1.202348954,-0.619065893,1.559141606,0.688607062,-0.142122377,0.59977139,-4.339463856,-1.847094156,0.201242575
5.247078772,2.356032253,2.268531195,-0.969873405,2.642519984,2.456170711,2.145928549,2.087228816,0.345251309,0.380040236,-0.698973593,-1.008743308,-2.808081212,-0.841551634,0.344506212,-2.107281131,1.888994056,1,-4.929351604,-2.862524819,-6.601210622,-0.583805195,-0.131093059,0.492078814,-0.83654442,-13.27586397,-14.84563108,2.17359456,-0.878598716,0.295922212,1.160372626,-0.591667023,0.228587884,2.393652386,-14.09788762,-1.900976179,1,-2.090837365,-1.529543318,0.700710139,-0.9911659,1.799692969,-0.428146054,-0.563277656,-0.37224738,-0.110999166,1.254823836,0.453201502,-0.187146565,0.754036536,-4.515781026,-1.821772074,0.177312314
5.223998335,2.229525552,2.115290279,-1.050440504,2.580069197,2.364437754,1.867743291,1.78982826,0.49339175,0.256668915,-0.801112606,-0.910410871,-2.587792333,-1.006116013,0.159812663,-2.072956748,1.845777557,1,-4.819270808,-2.781918385,-6.616060884,-0.565790493,-0.131093059,0.492078814,-0.83654442,-13.29323026,-14.84563108,2.17359456,-0.878598716,0.231463831,1.160372626,-0.577582592,0.21747513,2.492984458,-13.85119244,-1.901022788,1,-2.090530671,-1.167662078,0.700710139,-0.9911659,1.202830992,-0.628465813,-1.152112295,0.458537739,0.431243693,1.488112635,0.76671642,-0.168452056,0.93430722,-4.889542683,-1.829043228,0.150261192
5.210534752,2.086620257,1.933713854,-1.129085787,2.508170025,2.252452213,1.578940319,1.46636325,0.610172259,0.118874086,-0.933325205,-0.833180178,-2.383766757,-1.199616613,-0.083404708,-2.068751484,1.782085048,1,-4.694252788,-2.693013373,-6.612464941,-0.558133913,-0.131093059,0.492078814,-0.83654442,-5.448589468,-5.755936056,2.17359456,-0.878598716,0.081023922,1.160372626,-0.603622694,0.212751833,2.425301758,-12.79108235,-1.901247008,1,-2.090185692,-0.674206381,0.700710139,-0.9911659,-0.164175446,-0.910432488,-2.683885542,0.633710176,0.668817459,1.553589669,0.427803561,-1.079645451,1.031640129,-4.976378559,-1.702708723,0.040671109
5.198032836,1.933932643,1.738208211,-1.203982818,2.431114809,2.128233856,1.292579763,1.13349106,0.69341743,-0.02730536,-1.084587575,-0.776203582,-2.204525708,-1.40598164,-0.363451281,-2.089609085,1.701995118,1,-4.547252693,-2.593759007,-6.615087648,-0.567658658,-0.131093059,0.492078814,-0.83654442,-5.53870132,-5.591395173,2.17359456,-0.878598716,0.117635167,1.160372626,-0.599673031,0.218627576,2.446908277,-11.1921491,-1.901520161,1,-2.089782114,-0.282195348,0.700710139,-0.9911659,2.573046378,-0.482260872,-2.468634003,0.311298303,0.60238831,1.321578413,0.899264595,-0.838248777,1.193950047,-5.114123627,-1.387991366,-0.079912354
5.183607586,1.776705826,1.540784206,-1.273718777,2.352505474,1.998999878,1.018377752,0.804832127,0.742981724,-0.177372955,-1.245835047,-0.739212598,-2.055876655,-1.612274873,-0.66149304,-2.130790248,1.608883042,1,-4.387699618,-2.486691553,-6.636863238,-0.581828486,-0.131093059,0.492078814,-0.83654442,-5.609773038,-5.627387027,2.17359456,-0.878598716,0.222929038,1.160372626,-0.602716673,0.227368404,2.550893919,-9.434318124,-1.901736602,1,-2.089335382,0.309739509,0.307117706,0.029896316,0.968578714,0.458577426,-1.050150542,0.483367074,1.06228919,0.952201497,1.561492385,-0.049159814,1.288542429,-5.803309441,-0.905721852,-0.264166414
5.159565452,1.620969435,1.355696016,-1.336646571,2.276669322,1.873907894,0.766832419,0.496336067,0.760396288,-0.326425119,-1.406445513,-0.722561905,-1.943434252,-1.80359725,-0.954525932,-2.186302001,1.506781916,1,-4.203986385,-2.359187979,-6.647725139,-0.592091934,-0.131093059,0.492078814,-0.83654442,-8.649844117,-9.269194919,2.17359456,-0.878598716,-0.011709357,1.160372626,-0.595278615,0.233699379,2.389708208,-8.195374995,-1.902052768,1,-2.088806066,2.027656016,0.307117706,0.029896316,-0.712903389,-0.489855933,-1.011618901,0.42201423,1.148590522,1.373086058,1.304348924,-0.691053196,0.761860299,-5.962535052,-0.530653576,-0.334712011
5.130714921,1.471450354,1.192602285,-1.392649974,2.206786018,1.76025922,0.542008872,0.217558792,0.753995751,-0.470613823,-1.557699729,-0.723402849,-1.864351209,-1.970485153,-1.223739206,-2.248293962,1.400862316,1,-3.986080339,-2.197231223,-6.663216324,-0.585266319,-0.131093059,0.492078814,-0.83654442,-8.280557748,-9.269194919,2.17359456,-0.878598716,0.133920447,1.160372626,-0.602566724,0.229489082,2.440807525,-7.878409496,-1.902469876,1,-2.088181796,2.779965362,0.307117706,0.029896316,-0.651933617,-1.241767066,-1.340251813,0.633008156,2.211218096,0.502494623,1.623781476,-1.317282824,-0.27700569,-5.928734161,-0.264945241,-0.338396615
5.119174703,1.332719782,1.061303873,-1.441211948,2.146113286,1.665413521,0.349041923,-0.02111556,0.730187427,-0.605943182,-1.69134362,-0.741085275,-1.817732791,-2.103164702,-1.450654557,-2.310222217,1.295669751,1,-3.73149728,-2.028842062,-6.657556591,-0.568741687,-0.131093059,0.492078814,-0.83654442,-8.20307641,-9.269194919,2.17359456,-0.878598716,-0.008364139,1.160372626,-0.598628209,0.219295586,2.321790237,-7.81856258,-1.90282541,1,-2.087468092,2.779965362,0.191594597,0.661224088,0.13746447,-1.413605341,-0.803337784,1.022813938,2.39911769,0.709540074,1.223964869,-0.822104182,-0.259928966,-5.911031987,-0.249729069,-0.343334453
