"Value (CH 1, SKT100C)_Now",ch1(O)_Now,ch2(O)_Now,ch3(O)_Now,ch4(O)_Now,ch5(O)_Now,ch6(O)_Now,ch7(O)_Now,ch8(O)_Now,ch9(O)_Now,ch10(O)_Now,ch11(O)_Now,ch12(O)_Now,ch13(O)_Now,ch14(O)_Now,ch15(O)_Now,ch16(O)_Now,workload_Future,"   _Vind,_kias _Now","   Vtrue,_ktgs _Now","   _wind,speed _Now","   _wind,__dir _Now","   _elev__up,stick _Now","   _elev__down,stick_Now","   ailrn,stick _Now","   ruddr,_surf _Now","   nwhel,steer _Now","   _trim,_elev _Now","   _flap,postn _Now","   pitch,__deg__up_Now","   pitch,__deg__up.1_Now","   _roll,__deg _Now","   hding,_true _Now","   alpha,__deg _Now","   _beta,__deg _Now","   __alt,ftmsl _Now","   ___on,runwy _Now","   _dist,___ft _Now","   thro1,_part _Now","P-P (CH 3, RSP100C)_Now","BPM (CH 3, RSP100C)_Now","P-P (CH 9, PPG100C).1_Now","Value (CH 9, PPG100C).1_Now",HR(EDA100C)_Now,"Value (CH13, Alpha of CH 7).1_Now","Value (CH14, Beta of CH 7)_Now","Value (CH15, Theta of CH 7).1_Now","Value (CH18, Alpha of CH 8).1_Now","Value (CH19, Beta of CH 8)_Now","Value (CH20, Theta of CH 8).1_Now",h_Now,s_Now,v_Now
-1.649795446,0.364199327,1.322926162,0.524976467,0.825729591,0.978180353,1.265554165,1.531846859,1.508689946,0.743243114,0.219778413,1.671826345,-0.356505619,-4.201162633,2.447263285,-1.040910305,-1.116583255,3,-4.690160225,-3.347645235,-3.614755238,-1.038032804,-0.177822933,0.274236422,-0.010672748,2.287297995,2.325680504,1.967752488,-0.514613586,-0.040376054,0.957950297,-0.72694598,0.001305136,0.98440354,-4.561765341,-1.729669176,1,-1.639556247,-0.359811397,0.798672206,-0.584646697,0.626991681,-0.428702032,0.527771782,-1.668971791,1.163111528,-0.117371838,0.666830533,-1.25100141,0.905545291,-4.709102508,-0.878966328,-3.752227288
-1.662554996,0.360210599,1.233089749,0.498522636,0.777799117,0.845879414,1.240566435,1.458325857,1.425436984,0.697450058,0.11721345,1.617785102,-0.418277973,-4.133472389,2.413562317,-1.012926577,-1.109891965,3,-4.529237076,-3.214488327,-3.615933465,-1.036490712,-0.177822933,0.274236422,-0.010672748,1.100520347,1.046773342,1.967752488,-0.514613586,0.013972975,0.957950297,-0.692328836,0.000557039,1.083907926,-3.986755741,-1.729520421,1,-1.639233566,0.112671571,1.214150772,0.291146324,1.424183782,0.074276313,0.711360764,-1.593238127,-0.056417476,-0.44476797,0.696426904,-0.527415097,0.818608972,-4.745568695,-0.765369579,-3.846934268
-1.674038591,0.350524362,1.146663767,0.479161284,0.734406576,0.716793692,1.215748257,1.390276019,1.346958942,0.643559069,0.023116623,1.564958938,-0.48650058,-4.073676366,2.377772847,-0.992898254,-1.102109523,3,-4.354657996,-3.068205785,-3.614887529,-1.005468294,-0.177822933,0.274236422,-0.010672748,1.154672821,1.046773342,1.967752488,-0.514613586,0.012794817,0.957950297,-0.695686762,-0.014489455,1.108559384,-4.58784721,-1.729361746,1,-1.638824963,0.382692411,1.214150772,0.291146324,1.424183782,0.074276313,1.047397608,-1.136111645,-0.269435711,-1.495219689,0.337135529,-0.00864662,0.644707239,-4.759502154,-0.49834787,-4.021624595
-1.681694322,0.33454433,1.066214345,0.466607714,0.696952342,0.59379759,1.191756404,1.328466058,1.27310148,0.58093249,-0.060608851,1.514543205,-0.561763143,-4.023821423,2.340314666,-0.982831131,-1.095723221,3,-4.163002428,-2.909264828,-3.613041015,-0.973561909,-0.177822933,0.274236422,-0.010672748,3.778295867,3.686897848,1.967752488,-0.514613586,-0.034208497,0.957950297,-0.715525209,-0.029964154,1.040107275,-4.810630188,-1.729133482,1,-1.638317752,0.588248119,1.214150772,0.291146324,-0.599457712,0.946021824,0.083992645,-0.316774278,0.05932932,-1.995189365,-0.062252495,-0.104937785,0.764171939,-4.787977914,-0.189731984,-4.188679423
-1.686798141,0.312409957,0.992139648,0.458588029,0.665227293,0.477250905,1.168820657,1.271706219,1.202202312,0.510110874,-0.134526801,1.466723939,-0.644052946,-3.983913322,2.301446594,-0.983178388,-1.092870024,3,-3.951117774,-2.741519974,-3.610229432,-0.986941797,-0.177822933,0.274236422,-0.010672748,3.627271068,3.686897848,1.967752488,-0.514613586,-0.049349392,0.957950297,-0.719788679,-0.023474899,0.990268793,-3.175406741,-1.728954324,1,-1.637693193,0.793878712,1.214150772,0.291146324,4.866700356,0.153297851,0.05408162,-0.52488538,0.476260188,-2.211455173,-0.389631261,-0.106291021,0.248736746,-4.802025336,-0.112648591,-4.200112831
-1.688074097,0.283807902,0.924293821,0.45266669,0.638938994,0.366735129,1.147012935,1.218601836,1.132585632,0.431041736,-0.19910786,1.421409408,-0.73394066,-3.953804633,2.261050185,-0.994903558,-1.09542135,3,-3.736297604,-2.576404022,-3.614211744,-1.031806731,-0.177822933,0.274236422,-0.010672748,3.573257265,3.686897848,1.967752488,-0.514613586,0.029165946,0.957950297,-0.700769367,-0.001714732,1.064284109,-1.438312306,-1.728618103,1,-1.636978278,0.94065073,1.168761055,-0.66327478,4.866700356,0.153297851,0.245785111,-1.298053561,0.722266803,-2.20711086,-0.411215165,-0.270342636,0.02821003,-4.762841156,-0.089260173,-4.259776133
-1.682970277,0.249570947,0.861105856,0.445684222,0.61676704,0.260383116,1.126186401,1.16696254,1.06242274,0.345106773,-0.256442962,1.377962108,-0.830528428,-3.930818467,2.219184263,-1.017036363,-1.104088296,3,-3.514033553,-2.403908499,-3.608787347,-1.072460759,-0.177822933,0.274236422,-0.010672748,0.164238578,0.222290021,1.967752488,-0.514613586,-0.053354167,0.957950297,-0.677399668,0.018003055,1.009173571,-0.663947132,-1.728287108,1,-1.636145388,1.229989215,1.168761055,-0.66327478,4.866700356,0.153297851,0.922346535,-0.79882623,1.048281507,-2.630222013,-0.970955475,0.218400929,0.120310739,-4.73362991,-0.102059524,-4.329584048
-1.675314546,0.21062454,0.801265865,0.435111553,0.59771899,0.156809291,1.106324582,1.115231341,0.990653532,0.25367498,-0.307940905,1.335935173,-0.932494025,-3.911826586,2.175999497,-1.048580439,-1.119054372,3,-3.284869227,-2.227850016,-3.613558875,-1.051255996,-0.177822933,0.274236422,-0.010672748,0.251390632,0.168992617,1.967752488,-0.514613586,0.027987344,0.957950297,-0.726054736,0.007718384,1.07770133,-2.278338934,-1.727953447,1,-1.635198095,1.383115166,1.168761055,-0.66327478,4.866700356,0.153297851,1.280433617,-0.389010277,-0.101292862,-2.278457244,-0.295283175,0.777738279,0.118317721,-4.745143801,-0.119379286,-4.307995176
-1.668934771,0.168538759,0.743652753,0.418401133,0.581013464,0.055326656,1.087759789,1.062365325,0.916990977,0.158874969,-0.354239881,1.295152258,-1.037059777,-3.891785603,2.13201334,-1.088037388,-1.139961843,3,-3.05373791,-2.046395249,-3.610120112,-1.021373731,-0.177822933,0.274236422,-0.010672748,0.223774486,0.168992617,1.967752488,-0.514613586,-0.011899668,0.957950297,-0.702598378,-0.006775211,1.0472439,-2.705408131,-1.727513084,1,-1.634142949,1.817163059,1.168761055,-0.66327478,4.866700356,0.153297851,1.047397608,-0.726663867,-1.114158906,-1.901623144,-0.636679468,0.825806333,-0.458130009,-4.776202824,-0.059978296,-4.319094609
-1.65617522,0.125834686,0.687632551,0.395251128,0.56609585,-0.043602035,1.071024768,1.008813261,0.842763708,0.063838654,-0.395411793,1.25573901,-1.139871554,-3.86525208,2.088301499,-1.132222335,-1.164771105,3,-2.807293428,-1.856685582,-3.61024156,-1.002194582,-0.177822933,0.274236422,-0.010672748,0.181532973,0.168992617,1.967752488,-0.514613586,-0.004654467,0.957950297,-0.708579101,-0.016077026,0.977660364,-2.50228042,-1.727104015,1,-1.632936079,1.880366062,0.778998165,-0.060546034,4.486078135,1.526767396,0.064037245,-0.48490154,-0.972897781,-1.591977968,-0.51388455,0.342433422,-0.001016052,-4.766215298,0.010730517,-4.331711113
