"Value (CH 1, SKT100C)_Now",ch1(O)_Now,ch2(O)_Now,ch3(O)_Now,ch4(O)_Now,ch5(O)_Now,ch6(O)_Now,ch7(O)_Now,ch8(O)_Now,ch9(O)_Now,ch10(O)_Now,ch11(O)_Now,ch12(O)_Now,ch13(O)_Now,ch14(O)_Now,ch15(O)_Now,ch16(O)_Now,workload_Future,"   _Vind,_kias _Now","   Vtrue,_ktgs _Now","   _wind,speed _Now","   _wind,__dir _Now","   _elev__up,stick _Now","   _elev__down,stick_Now","   ailrn,stick _Now","   ruddr,_surf _Now","   nwhel,steer _Now","   _trim,_elev _Now","   _flap,postn _Now","   pitch,__deg__up_Now","   pitch,__deg__up.1_Now","   _roll,__deg _Now","   hding,_true _Now","   alpha,__deg _Now","   _beta,__deg _Now","   __alt,ftmsl _Now","   ___on,runwy _Now","   _dist,___ft _Now","   thro1,_part _Now","P-P (CH 3, RSP100C)_Now","BPM (CH 3, RSP100C)_Now","P-P (CH 9, PPG100C).1_Now","Value (CH 9, PPG100C).1_Now",HR(EDA100C)_Now,"Value (CH13, Alpha of CH 7).1_Now","Value (CH14, Beta of CH 7)_Now","Value (CH15, Theta of CH 7).1_Now","Value (CH18, Alpha of CH 8).1_Now","Value (CH19, Beta of CH 8)_Now","Value (CH20, Theta of CH 8).1_Now",h_Now,s_Now,v_Now
1.32658387,-1.957734906,-1.108253177,-1.797533454,-0.480405271,-0.893685478,-1.374695194,0.413968131,-1.463379512,-2.073823133,-0.491172185,-2.212570816,-1.058469049,0.210921714,-0.896333923,3.073700363,-0.247264505,1,-1.197048419,-0.894999532,-5.046770872,-0.864927648,7.349929828,0.638382361,-0.228720202,9.608182695,31.6863435,2.742806092,-0.621062055,2.459087799,1.274846686,-0.383479093,1.179058367,3.828998093,1.240893983,-1.610259834,1,-1.786615226,1.146460728,-0.528565115,-0.068550877,-0.116621185,2.248744685,-1.739310404,0.410225266,-0.084378455,-0.468345331,1.412111906,0.393197705,0.711615728,-2.052811968,-2.030691797,-0.279071126
1.323863054,-1.884510948,-1.112759116,-1.500990217,-0.330323118,-0.868139383,-1.471391775,0.67981358,-1.303091091,-2.080586745,-0.133825978,-1.808732162,-1.093893431,0.380019236,-0.654044815,3.319337336,-0.071937276,1,-1.066107549,-0.887587523,-4.766624304,-0.887337316,1.636864498,0.638382361,0.976676994,4.409111133,16.27406092,2.742806092,-0.621062055,3.313611616,1.274846686,-0.30659761,1.173724854,3.487154695,-1.831256192,-1.599864944,1,-1.784748924,1.146460728,3.376238839,-0.349796251,0.498280732,0.97009306,-2.294701754,0.012023659,0.369841976,-0.608170303,1.509643261,-0.331519857,-0.387429518,-2.057521985,-2.081714446,-0.289073379
1.320121931,-1.79504952,-1.089709455,-1.209580517,-0.15147245,-0.814087967,-1.540773622,0.91545688,-1.133044052,-2.044582057,0.212724328,-1.398365455,-1.088632823,0.501850253,-0.430456589,3.529997817,0.092682461,1,-1.008208142,-0.893283205,-4.766614816,-0.874707361,-0.175708452,0.638382361,-0.665530177,0.813299567,4.959250083,2.742806092,-0.621062055,3.663023412,1.274846686,-0.071441876,1.176730315,3.116149041,-1.294132588,-1.586165075,1,-1.782891047,1.146460728,3.376238839,-0.349796251,-0.485161749,-0.671047125,-2.480075549,0.030634086,0.99980716,-0.600353008,1.370203065,-0.491278259,-0.688316627,-1.985016702,-2.063228599,-0.305526781
1.316040707,-1.696931537,-1.052881637,-0.931923863,0.035709768,-0.747471291,-1.590579804,1.119963775,-0.96681641,-1.982928465,0.53624238,-1.006818006,-1.061587401,0.584486796,-0.23271809,3.70893674,0.242309303,1,-0.995090554,-0.910435961,-4.730374922,-0.861108526,-0.175708452,0.638382361,-0.430240452,-0.240062282,0.158609606,2.742806092,-0.621062055,4.074610458,1.274846686,-0.08053226,1.179606835,3.126700798,-1.382532897,-1.570654897,1,-1.781040036,1.146460728,3.376238839,-0.349796251,2.002487042,-1.888519245,-2.347118353,0.020882838,0.313698497,-0.41401658,1.954016257,-0.334757126,-0.263955488,-2.076000171,-2.144188258,-0.341088815
1.312979788,-1.591887342,-1.005507441,-0.682644516,0.218747619,-0.674587706,-1.616160812,1.274300919,-0.818603058,-1.895721623,0.811483614,-0.667906923,-1.016714937,0.61473018,-0.080522622,3.840595473,0.364997769,1,-1.00133459,-0.939819063,-4.68567539,-0.848648608,-0.175708452,0.638382361,-0.450092819,-0.294256961,0.158609606,2.742806092,-0.621062055,4.463079003,1.274846686,-0.135652436,1.182128144,3.14319381,-1.317861129,-1.553502597,1,-1.77920453,1.146460728,3.376238839,-0.349796251,1.207320722,-0.900470263,-1.57461848,0.568398511,-0.205359246,-0.122873178,2.123740814,0.175375784,-0.085130004,-2.270039942,-2.324658471,-0.366759771
1.31161938,-1.484991817,-0.954936133,-0.462901743,0.387823525,-0.604130604,-1.623796889,1.382223225,-0.694116049,-1.794269275,1.035039437,-0.390746359,-0.965611636,0.604689212,0.028615311,3.930814452,0.461491035,1,-1.021710991,-0.976635458,-4.637499555,-0.838841958,-0.175708452,-1.689479279,-0.506653335,-0.127536294,0.158609606,2.742806092,-0.621062055,4.598140951,1.274846686,-0.185450377,1.18398373,2.78072069,-1.374506177,-1.534855008,1,-1.777379717,1.146460728,0.616603976,-0.733945863,2.367021727,-0.319264978,-1.440092804,0.754702723,-1.131331474,-0.001908521,1.336293867,0.009126899,-0.21019485,-2.309255452,-2.355323224,-0.369242401
1.31161938,-1.380247811,-0.905549798,-0.282660544,0.531351969,-0.543506448,-1.612997686,1.432303589,-0.605118045,-1.683065544,1.188370192,-0.200664793,-0.91509723,0.552796045,0.084900036,3.970959367,0.524467373,1,-1.048911731,-0.988249444,-4.590092615,-0.833942842,-0.175708452,-1.789992796,-0.506653335,-0.143388778,0.158609606,2.681379235,-0.621062055,4.086277105,1.274846686,-0.250176861,1.184678607,2.464878675,-1.632751937,-1.516724984,0,-1.775583733,1.146460728,0.616603976,-0.733945863,1.79017563,0.683314137,-1.457045945,0.516012467,-0.747265244,0.212500425,1.265047051,0.19304521,0.39896848,-2.374919693,-2.391344191,-0.373872668
1.310939175,-1.280793308,-0.860474937,-0.136246219,0.649018124,-0.495323617,-1.590302211,1.436087881,-0.548639323,-1.569902619,1.281920856,-0.086564957,-0.870420049,0.473473731,0.100248947,3.971382997,0.559771862,1,-1.068359112,-0.983514809,-4.547901433,-0.828235624,-0.175708452,-1.433123374,-0.51095834,-0.08586659,0.158609606,2.681379235,-0.621062055,3.625505859,1.274846686,-0.315394374,1.185618107,2.516309488,-1.434902766,-1.500599296,0,-1.773789638,1.146460728,0.616603976,-0.733945863,0.047619717,1.256107239,-1.047886062,0.861951074,-0.268630231,0.064858157,0.690144175,-0.445669452,-0.093411164,-2.428529489,-2.401509575,-0.373508682
1.312299584,-1.19111544,-0.823182996,-0.028425375,0.734202678,-0.464586944,-1.558348691,1.391460183,-0.530458926,-1.461474709,1.310105886,-0.05776602,-0.836653576,0.371186306,0.074478416,3.929179541,0.564453933,1,-1.073262397,-0.974500676,-4.510624503,-0.825103388,-0.175708452,-0.597414215,-0.559093549,-0.000287802,0.158609606,2.681379235,-0.621062055,3.505776274,1.274846686,-0.371594773,1.185993551,2.833141326,-1.390939814,-1.486128718,0,-1.771990094,1.146460728,0.616603976,-0.733945863,-0.535235198,0.274940951,-0.6716304,0.627921115,-0.873131825,0.472243873,0.090599543,0.013639938,0.047725377,-2.457599106,-2.4156957,-0.373790247
1.3150204,-1.112087127,-0.793844274,0.050147924,0.793306826,-0.448886522,-1.523433784,1.315203947,-0.541110058,-1.362963607,1.293741467,-0.089618869,-0.81355435,0.25809157,0.023021223,3.856709379,0.546749365,1,-1.067807419,-0.964728651,-4.474730909,-0.824201008,-0.175708452,-0.582882565,-0.541863193,0.042473866,0.158609606,2.681379235,-0.621062055,3.362231389,1.274846686,-0.430943133,1.185851707,2.801371058,-1.364703422,-1.472254427,0,-1.770184911,1.146460728,0.616603976,-0.733945863,-0.763570111,0.04092935,-0.003910251,0.385677959,-1.286167918,0.803665237,0.293501189,-0.413041613,0.191538056,-2.475393326,-2.407546479,-0.373474993
