Vktgs,wind_speed,gravi_fts,elev_stick,elron_stick,rudder_stick,elev_surf,ailrn_surf,ruddr_surf,"nwhel,steer",trim,flap,pitch,roll,hding,"   alpha,__deg ","   _beta,__deg ","   hpath,__deg ","   vpath,__deg ","   _slip,__deg ","   __alt,ftmsl ","   ___on,runwy ","   _dist,___ft ","   thro1,_part ","   power,_1,hp ",workload
2.067371434,7.473550799,32.14644,0,-0.03714,0.00267,0.03587296,-0.041556813,0.006872388,0.02667,0.07,0,1.298242725,0.05308429,152.9771847,-178.5526169,-45.21084189,157.4738496,0.192659124,-0.104209115,47.27243272,1,4.520361345,0.347104511,26.1177028,3
2.227164143,7.473227958,32.14644,0,-0.03714,0.00267,0.03527612,-0.04211939,0.00661306,0.02667,0.07,0,1.297610606,0.042927302,153.0185698,-178.5464892,-46.40186533,157.2985756,0.199451856,-0.101616316,47.27359715,1,4.879202566,0.352860032,26.53655419,3
2.39055928,7.473006376,32.14644,0,-0.03714,0.00267,0.034657097,-0.042620873,0.006298947,0.02667,0.07,0,1.295555381,0.031171585,153.0715918,-178.546001,-47.67328446,157.14038,0.200051606,-0.09917263,47.2748612,1,5.262310427,0.358663792,26.96354246,3
2.555812272,7.472899182,32.14644,0,-0.037506389,0.00267,0.033977737,-0.043450401,0.00595595,0.02667,0.07,0,1.292681879,0.017774701,153.1370016,-178.5459424,-49.01755918,157.0036333,0.202626436,-0.096879903,47.27621869,1,5.667146814,0.362416258,27.19117542,3
2.724911271,7.472915242,32.14644,0,-0.03802,0.00267,0.033261008,-0.044419658,0.005600504,0.02667,0.07,0,1.289347498,0.002665635,153.2162642,-178.5439198,-50.4544448,156.8802645,0.210488087,-0.094683023,47.27772585,1,6.1011867,0.372099527,28.05171118,3
2.894549954,7.472993245,32.14644,0,-0.038604011,0.00267,0.03256964,-0.045420281,0.005249953,0.02667,0.07,0,1.285621883,-0.01408212,153.3077048,-178.548031,-51.95827959,156.767896,0.212473464,-0.092618653,47.27933428,1,6.556446565,0.389400633,29.81218136,3
3.064416943,7.472979707,32.14644,0,-0.048274538,0.00267,0.031897217,-0.055351708,0.004901072,0.02667,0.07,0,1.281505401,-0.031895327,153.4104708,-178.5570432,-53.52724362,156.6633531,0.211124329,-0.09069014,47.28099927,1,7.029598062,0.402983059,31.41248602,3
3.22814644,7.472930146,32.14644,0,-0.075945278,0.00267,0.031233611,-0.082969229,0.004558001,0.02667,0.07,0,1.277415033,-0.049192844,153.5188182,-178.5693839,-55.09713972,156.569134,0.207250205,-0.088949028,47.28261844,1,7.498247482,0.412258432,32.6663972,3
3.402738256,7.473004933,32.14644,0,-0.095140256,0.002444711,0.030541633,-0.102280811,0.003956211,0.024417933,0.07,0,1.2729947,-0.066145367,153.6456642,-178.58306,-56.81343197,156.4034952,0.202121067,-0.087215589,47.2843377,1,8.015518267,0.415851156,33.32827422,3
3.579951219,7.473116044,32.14644,0,-0.094019885,-0.002629363,0.029902744,-0.101623404,-0.00153453,-0.026304289,0.07,0,1.2672447,-0.067617589,153.7908031,-178.5803563,-58.46640419,155.7641989,0.192009956,-0.085539663,47.2860877,1,8.568407156,0.419480785,33.99345941,3
3.754445461,7.473137986,32.14644,0,-0.09290085,-0.033790586,0.030932171,-0.093965017,-0.032548713,-0.337888877,0.07,0,1.251725069,-0.123129295,153.9384267,-178.676655,-60.50867295,156.1416066,0.188070821,-0.083933219,47.28788563,1,9.153168687,0.423135222,34.66726467,3
3.937814232,7.473080708,32.14644,0,-0.093796428,-0.051710214,0.03068578,-0.095524016,-0.050577267,-0.517082137,0.07,0,1.232866253,-0.16347503,154.0952569,-178.7803684,-62.65652237,156.3648539,0.173024971,-0.082370882,47.28961311,1,9.776052735,0.42685033,35.34077876,3
