Vktgs,wind_speed,gravi_fts,elev_stick,elron_stick,rudder_stick,elev_surf,ailrn_surf,ruddr_surf,"nwhel,steer",trim,flap,pitch,roll,hding,"   alpha,__deg ","   _beta,__deg ","   hpath,__deg ","   vpath,__deg ","   _slip,__deg ","   __alt,ftmsl ","   ___on,runwy ","   _dist,___ft ","   thro1,_part ","   power,_1,hp ",workload
1.838469249,1.86831585,32.14644,-0.00069,-0.02785,0.00267,-0.002751309,-0.031321793,0.009347159,0.02667,0.07,0,1.260358667,-0.074916738,331.9566762,1.158848971,24.49162228,337.481986,0.112669633,-0.05051,47.34433791,1,25.31461763,1,128.1523842,3
2.216583719,1.868289607,32.14644,-0.00069,-0.02785,0.00267,-0.003326685,-0.032922442,0.009905533,0.02667,0.07,0,1.270707992,-0.068011525,331.8816947,1.163159859,21.45465718,337.1763896,0.125133801,-0.050510197,47.34503084,1,25.62121453,1,133.8146236,3
2.632097689,1.868272359,32.14644,-0.00069,-0.02785,0.00267,-0.00361989,-0.034345347,0.010586802,0.02667,0.07,0,1.282462046,-0.061060852,331.7819017,1.164030849,18.81593693,336.8724227,0.141967192,-0.05051882,47.34594495,1,25.9872028,1,138.1687285,3
3.066536672,1.868284221,32.14644,-0.00069,-0.02671945,0.00267,-0.003617338,-0.034468896,0.011412369,0.02667,0.07,0,1.292566903,-0.056647245,331.657321,1.168188695,16.52039655,336.6470723,0.149417914,-0.05052,47.34705123,1,26.40080945,1,141.4677432,3
3.513481489,1.868263024,32.14644,-0.00069,-0.027549444,0.00267,-0.002699008,-0.035486662,0.012346629,0.02667,0.07,0,1.295399556,-0.040495019,331.5007436,1.177534293,14.83066121,335.9951507,0.143670828,-0.05052,47.3483402,1,26.87432075,1,144.0528068,3
3.929142712,1.86820928,32.14644,-0.00069,-0.02188854,0.003207599,-0.00059061,-0.029999467,0.013787022,0.032049062,0.07,0,1.276348945,-0.006071191,331.3245992,1.166704079,13.71763767,335.1263657,0.140939801,-0.05052,47.34973897,1,27.36505032,1,145.9107876,3
4.299545743,1.868140386,32.14644,-0.00069,-0.006724916,0.004413248,0.002413179,-0.015690132,0.015798734,0.044112445,0.07,0,1.234812603,0.042905729,331.142987,1.127668599,12.95100315,334.2828934,0.149820269,-0.05052,47.35117198,1,27.84201898,1,147.2323791,3
4.810889473,1.868017093,32.14644,-0.00069,0.001062175,0.016981101,0.00115996,-0.004474621,0.028657884,0.169848365,0.07,0,1.201427871,0.090237014,330.9168698,1.11536414,12.28854273,333.1102826,0.132605656,-0.050528194,47.35288431,1,28.4962039,1,148.3366927,3
5.306925251,1.867808334,32.14644,-0.000544667,0.010274912,0.061950987,0.000413724,0.010599724,0.073370043,0.619547754,0.07,0,1.176783018,0.126152224,330.7012619,1.102139156,11.83743775,332.020023,0.12462774,-0.05053,47.35450744,1,29.18605906,1,149.1382389,3
5.800118962,1.867530269,32.14644,-0.000541275,0.014561502,0.116719717,0.00034199,0.019592032,0.127606452,1.167204349,0.07,0,1.151597235,0.147969837,330.4941868,1.087414182,11.26714073,331.3048749,0.113919663,-0.03990791,47.35611485,1,29.92611734,1,149.7457319,3
6.293902023,1.867198271,32.14644,-0.00069,0.013336499,0.160692315,0.00085888,0.020579871,0.17102637,1.606894675,0.07,0,1.121707733,0.16101287,330.294987,1.073538802,10.50695702,330.9984966,0.093852237,-0.024271135,47.35762213,1,30.72297793,1,150.2106185,3
6.783074242,1.866838366,32.14644,-0.00069,0.012164893,0.1582955,0.001555717,0.019224484,0.168499377,1.582934188,0.07,0,1.085319035,0.184108053,330.1045053,1.068063651,9.725557218,330.8728897,0.058489652,-0.032656157,47.35868653,1,31.57976635,1,150.5574751,3
7.30811823,1.867352958,32.14644,-0.00069,0.01204,0.15804,0.001869117,0.018758687,0.168282307,1.58038,0.07,0,1.041769035,0.223356619,329.8966353,1.042596912,8.994455331,330.7291515,0.041127707,-0.051610788,47.35943515,1,32.58766444,1,150.8548631,3
7.809832972,1.86798567,32.14644,-0.00069,0.012871555,0.15804,0.001944565,0.01936742,0.168435875,1.58038,0.07,0,0.99890859,0.267871951,329.6909614,1.009733358,8.37656385,330.5695499,0.033823369,-0.077182745,47.36006306,1,33.62244674,1,151.0877493,3
8.313405376,1.868745632,32.14644,-0.00069,0.01357,0.15804,0.001561254,0.019994102,0.168673953,1.58038,0.07,0,0.958685865,0.314955819,329.4756085,0.986535009,7.824188749,330.3862001,0.018524597,-0.109860819,47.36055806,1,34.72704053,1,151.2719525,3
8.833034204,1.869638123,32.14644,-0.00069,0.012937507,0.15804,0.000306122,0.019487419,0.16897971,1.58038,0.07,0,0.925918923,0.360097192,329.2424244,0.988585743,7.319588751,330.1697469,-0.017729476,-0.151860295,47.36060877,1,35.9343502,1,151.4081359,3
9.339616849,1.870384691,32.14644,-0.00069,0.009951235,0.15804,-0.002214549,0.016878444,0.169308842,1.58038,0.07,0,0.910521957,0.392095265,329.003635,1.022229477,6.892198528,329.9239814,-0.071787435,-0.203325335,47.35951701,1,37.17623027,1,151.4884281,3
9.855945628,1.870544676,32.14644,-0.00069,0.014714169,0.15804,-0.005048968,0.021891832,0.169636884,1.58038,0.07,0,0.91988678,0.414419148,328.7444728,1.070387659,6.512303173,329.644025,-0.115139722,-0.266791075,47.35701623,1,38.52869274,1,151.5230998,3
10.35358753,1.870198663,32.14644,-0.000285196,0.026579447,0.176925002,-0.006485741,0.034095183,0.188552202,1.769265224,0.07,0,0.940062588,0.427552214,328.4871534,1.087425117,6.16914215,329.3740152,-0.112442654,-0.33123385,47.35413478,1,39.90517493,1,151.541078,3
10.86665704,1.869851741,32.14644,-0.000185349,0.032746674,0.229890636,-0.006689322,0.040716163,0.240949301,2.298938123,0.07,0,0.961470334,0.427422492,328.2273181,1.073902044,5.823340667,329.1253241,-0.07602318,-0.393695537,47.35171975,1,41.40127477,1,151.5470862,3
11.39253911,1.869981234,32.14644,-0.000394331,0.032016037,0.288545302,-0.005870315,0.040332178,0.298590814,2.885473018,0.07,0,0.976301076,0.41541769,327.9817722,1.04469336,5.487837874,328.9054949,-0.030956667,-0.449770997,47.3503636,1,43.02075772,1,151.5460445,3
11.89595396,1.870698623,32.14644,-0.00024,0.035015406,0.29416,-0.004717508,0.04329016,0.303433696,2.94162,0.07,0,0.981316596,0.401707562,327.7771017,1.032300772,5.212401846,328.7054283,-0.015233013,-0.497318582,47.34983629,1,44.65177807,1,151.5475014,3
12.41281897,1.871166151,32.14644,-0.00024,0.034105852,0.29416,-0.004020466,0.04261862,0.302796158,2.94162,0.07,0,0.977533869,0.382164889,327.5990416,1.050865886,4.977515753,328.5059894,-0.04353121,-0.543170333,47.34893524,1,46.41416331,1,151.5605922,3
12.88944411,1.870895631,32.14644,-0.00024,0.029561431,0.291384447,-0.00292645,0.038323331,0.299546881,2.913878962,0.07,0,0.962382166,0.354009031,327.4600906,1.053840547,4.801875906,328.3235602,-0.067175688,-0.586949303,47.34699306,1,48.11883219,1,151.5663954,3
13.39046514,1.870840776,32.14644,-0.00024,0.027313013,0.292446123,-0.001855935,0.036174063,0.300153292,2.924490182,0.07,0,0.937021876,0.32233516,327.3324117,1.056880005,4.618869329,328.166172,-0.102099509,-0.623890091,47.34407547,1,49.97707988,1,151.5661239,3
13.88659338,1.871182062,32.14644,-0.00024,0.053990612,0.29416,-0.002100066,0.062864356,0.30141657,2.94162,0.07,0,0.913032029,0.289595448,327.2256469,1.055413884,4.43386326,328.0519838,-0.130363825,-0.645939388,47.34013323,1,51.88847522,1,151.5603174,3
14.35627665,1.871713639,32.14644,-0.000202596,0.0993,0.293563087,-0.004264718,0.108223639,0.300363341,2.935653984,0.07,0,0.904205167,0.255977386,327.1434171,1.048848399,4.262127119,327.973385,-0.13624792,-0.653767671,47.33567281,1,53.76502942,1,151.5533834,3
14.80849769,1.871925888,32.14644,-2.07E-05,0.0993,0.290659812,-0.008373269,0.108435888,0.296974924,2.906636398,0.07,0,0.926506562,0.216908253,327.0859125,1.044755009,4.122375755,327.9031758,-0.11104325,-0.654631831,47.33150362,1,55.64707915,1,151.5529134,3
15.23392737,1.870852716,32.14644,-0.000473204,0.100349278,0.292956624,-0.01036934,0.109214383,0.298825717,2.929592528,0.07,0,0.961005264,0.187575362,327.0500962,1.069993886,4.007065465,327.8450335,-0.103482251,-0.653900179,47.32786159,1,57.63084078,1,151.5634694,3
15.54744303,1.870036559,32.14644,-0.00069,0.10083,0.29416,-0.002045714,0.109578713,0.299569307,2.94162,0.07,0,0.922903072,0.160483929,327.0322965,0.988051223,3.904496536,327.8332871,-0.058295056,-0.639925093,47.32534337,1,59.68091621,1,151.5781168,3
15.72203296,1.869945946,32.14644,-0.000765985,0.100414798,0.29416,0.01581032,0.109233646,0.299016619,2.94162,0.07,0,0.762201399,0.131931598,327.037207,0.766901345,3.806570413,327.8885047,0.004774141,-0.604077129,47.3245045,1,61.81597691,1,151.5939746,3
15.7397935,1.870693961,32.14644,-0.00097,0.099462378,0.293753525,0.038822003,0.108411316,0.297862538,2.937557376,0.07,0,0.428812624,0.098639794,327.0743091,0.38961979,3.705514652,328.0319492,0.049623583,-0.536471226,47.32591754,1,64.04566246,1,151.6080333,3
15.609123,1.870957227,32.14644,-0.00097,0.100721119,0.290602559,0.05922513,0.109661831,0.293773686,2.906064163,0.07,0,-0.059694163,0.063444401,327.1559298,-0.151079511,3.610434438,328.2607028,0.103527326,-0.436635767,47.32907673,1,66.23149545,1,151.6186791,3
