Vktgs,wind_speed,gravi_fts,elev_stick,elron_stick,rudder_stick,elev_surf,ailrn_surf,ruddr_surf,"nwhel,steer",trim,flap,pitch,roll,hding,"   alpha,__deg ","   _beta,__deg ","   hpath,__deg ","   vpath,__deg ","   _slip,__deg ","   __alt,ftmsl ","   ___on,runwy ","   _dist,___ft ","   thro1,_part ","   power,_1,hp ",workload
0.977653363,5.604834536,32.1466,0,-0.02947,0.00191,0.028748556,-0.025867113,0.007152268,0.01908,0.07,0,1.132546395,-0.275872991,99.26081411,-178.8078543,12.3841815,103.0880541,-0.008653515,0.059259789,-2.291613918,1,3.019114395,0.174449389,13.38745667,2
1.042476232,5.604831191,32.1466,0,-0.02947,0.00191,0.02826009,-0.026030472,0.007172539,0.01908,0.07,0,1.136710069,-0.278396923,99.25124424,-178.8025077,12.53405746,103.001509,-0.009000066,0.054508268,-2.291731506,1,3.190988663,0.181385419,13.84586827,2
1.110816429,5.604750067,32.1466,0,-0.02947,0.00191,0.027730296,-0.026394737,0.007184995,0.01908,0.07,0,1.142151625,-0.282027785,99.24115066,-178.7955939,12.68030529,102.9867261,-0.008733907,0.049957449,-2.291864919,1,3.374021229,0.18431,14.00965305,2
1.182401694,5.604581761,32.1466,0,-0.02947,0.00191,0.027201692,-0.026666362,0.007197277,0.01908,0.07,0,1.148720848,-0.286201983,99.23061005,-178.7844041,12.83025939,103.0033915,0.001643045,0.04560351,-2.292000939,1,3.568672504,0.190018765,14.3869049,2
1.256943362,5.604379915,32.1466,0,-0.02947,0.00191,0.026719717,-0.026964192,0.007216686,0.01908,0.07,0,1.155838464,-0.289216035,99.21947466,-178.765662,12.97755151,103.0641889,0.035766102,0.041437057,-2.292076629,1,3.774684463,0.2,15.08224577,2
1.335456787,5.604311931,32.1466,0,-0.02947,0.00191,0.026382828,-0.027477207,0.007238069,0.01908,0.07,0,1.16194926,-0.288802276,99.20719745,-178.7444394,13.14338275,103.1140808,0.077357498,0.037492046,-2.291949139,1,3.996200671,0.2,15.01932724,2
1.416611533,5.6043,32.1466,0,-0.02947,0.00191,0.026119394,-0.02782128,0.007260695,0.01908,0.07,0,1.166410742,-0.286636114,99.19417846,-178.7294351,13.31851704,103.152705,0.101222253,0.03366762,-2.291710874,1,4.228506854,0.2,14.95466761,2
1.502289887,5.60434709,32.1466,0,-0.02947,0.00191,0.025874615,-0.02916679,0.007291773,0.01908,0.07,0,1.168326222,-0.280114777,99.18019537,-178.7182766,13.4292153,103.4255731,0.120353271,0.030013542,-2.291373411,1,4.476395104,0.204614859,15.25700601,2
1.590652089,5.604432166,32.1466,0,-0.02947,0.00191,0.025513373,-0.028874006,0.007305796,0.01908,0.07,0,1.168285856,-0.273904284,99.16547002,-178.7136254,13.74536791,103.1822168,0.122840378,0.026632206,-2.290977577,1,4.739951371,0.210112126,15.62781686,2
1.682186539,5.604529104,32.1466,0,-0.02947,0.00191,0.025088129,-0.029151985,0.007319093,0.01908,0.07,0,1.167149807,-0.264733192,99.15017906,-178.7105793,14.04704194,103.0243418,0.124039518,0.023450543,-2.290539036,1,5.017642012,0.21176,15.69455529,2
1.77569534,5.604661718,32.1466,0,-0.02947,0.00191,0.024615099,-0.029614212,0.007326752,0.01908,0.07,0,1.165239954,-0.256115508,99.13441458,-178.7051968,14.34676338,102.9520042,0.131606231,0.020405819,-2.290048603,1,5.310756145,0.213036598,15.73638313,2
1.869170574,5.604830175,32.1466,0,-0.02947,0.00191,0.024095214,-0.028828437,0.007323826,0.01908,0.07,0,1.162812242,-0.251206811,99.11852015,-178.7020901,14.7753514,102.6330148,0.131240301,0.017498851,-2.289507561,1,5.619135636,0.216439937,15.9528959,2
